source,target,value
m1_ron,Answer,30
m1_ron,Question,26
m1_ron,Statement,63
m1_ron,Emphasis,54
m2_ron,Answer,87
m2_ron,Question,56
m2_ron,Statement,154
m2_ron,Emphasis,37
m3_ron,Answer,33
m3_ron,Question,22
m3_ron,Statement,81
m3_ron,Emphasis,19
m4_ron,Answer,19
m4_ron,Question,21
m4_ron,Statement,71
m4_ron,Emphasis,5
m5_ron,Answer,12
m5_ron,Question,19
m5_ron,Statement,30
m5_ron,Emphasis,29
m6_ron,Answer,35
m6_ron,Question,41
m6_ron,Statement,91
m6_ron,Emphasis,9
m7_ron,Answer,48
m7_ron,Question,38
m7_ron,Statement,104
m7_ron,Emphasis,23
m8_ron,Answer,28
m8_ron,Question,31
m8_ron,Statement,43
m8_ron,Emphasis,34